objectid,reg,dep,cv,codgeo,libgeo,p21_pop
112224,82,42,4210,42271,Saint-Paul-en-Jarez,4771
137281,54,86,8601,86062,Chasseneuil-du-Poitou,4767
133213,22,60,6016,60342,Laigneville,4767
134157,31,59,5928,59566,Sequedin,4762
114258,91,30,3021,30333,Uchaud,4761
121919,93,06,0624,06147,Tourrette-Levens,4760
119620,82,01,0112,01142,Dagneux,4753
144581,21,10,1003,10033,Bar-sur-Aube,4753
117219,82,38,3802,38348,Ruy,4752
119664,11,91,9111,91044,Ballainvilliers,4752
141680,53,29,2917,29254,Saint-Martin-des-Champs,4750
115703,21,10,1010,10325,Rosières-près-Troyes,4749
127013,11,91,9110,91064,Bièvres,4748
118137,31,62,6223,62846,Vermelles,4748
115504,93,84,8408,84099,Robion,4746
134511,01,971,97110,971112,Grand-Bourg,4741
127548,83,63,6309,63470,Volvic,4740
123296,91,48,4808,48092,Marvejols,4738
140715,24,37,3719,37153,Monnaie,4737
137290,22,60,6008,60670,Verneuil-en-Halatte,4734
132241,54,16,1609,16028,Barbezieux-Saint-Hilaire,4732
111228,24,37,3710,37267,Véretz,4732
132256,43,25,2519,25367,Mandeure,4731
137763,93,83,8309,83092,Pignans,4730
125029,24,37,3704,37063,Château-Renault,4727
128285,82,74,7411,74096,Cruseilles,4723
122032,31,59,5936,59168,Cysoing,4722
115361,52,85,8512,85300,Venansault,4720
126083,31,59,5928,59278,Hallennes-lez-Haubourdin,4718
143137,24,37,3711,37154,Montbazon,4717
122419,72,47,4709,47106,Fumel,4717
112578,42,68,6804,68155,Ingersheim,4711
126276,52,44,4431,44070,La Haie-Fouassière,4710
117371,42,68,6816,68226,Munster,4707
133935,82,38,3826,38189,Heyrieux,4707
140379,52,44,4401,44096,Mésanger,4704
124628,52,44,4428,44081,Legé,4701
129526,73,31,3105,31230,Gratentour,4699
125726,74,87,8712,87125,Rilhac-Rancon,4694
138137,53,35,3524,35131,L' Hermitage,4692
113787,73,31,3127,31079,Bouloc,4692
136179,82,01,0119,01281,Ornex,4690
139413,11,94,9416,94048,Marolles-en-Brie,4689
126021,23,27,2703,27065,Beuzeville,4689
142291,53,56,5617,56186,Quiberon,4688
116113,82,38,3814,38399,Saint-Jean-de-Bournay,4687
144569,72,33,3311,33363,Sadirac,4687
112962,91,34,3423,34309,Teyran,4685
121393,41,57,5717,57540,Phalsbourg,4683
120828,42,68,6815,68269,Ribeauvillé,4682
143472,91,66,6604,66050,Claira,4681
138471,31,59,5901,59414,Montigny-en-Ostrevent,4681
143877,23,76,7623,76462,Neufchâtel-en-Bray,4680
140030,31,62,6228,62321,Évin-Malmaison,4674
115568,72,24,2407,24312,Notre-Dame-de-Sanilhac,4674
125644,11,78,7816,78224,L' Étang-la-Ville,4673
142164,26,58,5801,58059,La Charité-sur-Loire,4672
120338,91,34,3405,34148,Maraussan,4671
140884,91,66,6605,66016,Banyuls-sur-Mer,4671
125315,26,71,7115,71047,Bourbon-Lancy,4663
143872,73,31,3110,31410,Pechbonnieu,4662
133788,24,45,4503,45173,Jargeau,4662
122712,54,79,7903,79185,Mougon,4660
144500,41,54,5402,54157,Dieulouard,4658
131106,31,59,5901,59276,Guesnain,4656
127605,82,42,4221,42097,La Fouillouse,4655
113492,53,29,2925,29031,Clohars-Carnoët,4651
112322,41,57,5705,57032,Ars-sur-Moselle,4651
121772,53,29,2927,29076,Guipronvel,4649
110287,31,62,6222,62773,Samer,4649
127300,41,54,5418,54079,Blénod-lès-Pont-à-Mousson,4645
142175,82,69,6908,69176,Soucieu-en-Jarrest,4645
128831,53,56,5620,56008,Baden,4642
144192,22,80,8009,80799,Villers-Bretonneux,4640
140922,52,49,4917,49167,Juigné-sur-Loire,4631
123661,42,67,6701,67194,Herrlisheim,4631
132726,53,56,5603,56117,Locminé,4626
125478,31,59,5901,59024,Auberchicourt,4626
137069,73,12,1210,12096,Espalion,4624
139577,31,62,6223,62051,Auchy-les-Mines,4623
130684,25,14,1415,14715,Trouville-sur-Mer,4622
128427,11,95,9513,95257,La Frette-sur-Seine,4621
126319,52,44,4423,44187,Saint-Père-en-Retz,4620
123126,72,40,4002,40119,Hagetmau,4620
141359,41,57,5715,57049,Le Ban-Saint-Martin,4617
124440,91,30,3004,30259,Saint-Hilaire-de-Brethmas,4616
117718,11,94,9416,94053,Noiseau,4610
119713,22,60,6013,60584,Saint-Leu-d'Esserent,4606
113307,82,69,6900,69046,Charly,4606
141604,53,35,3503,35059,La Chapelle-des-Fougeretz,4604
126606,91,30,3003,30284,Saint-Martin-de-Valgalgues,4603
128830,53,35,3515,35297,Saint-Méen-le-Grand,4603
141834,31,62,6203,62764,Saint-Nicolas,4603
133100,11,91,9113,91405,Milly-la-Forêt,4603
137483,82,74,7405,74311,Viuz-en-Sallaz,4600
140739,82,69,6906,69289,Saint-Pierre-de-Chandieu,4598
135822,53,22,2222,22222,Plouha,4596
144620,43,90,9001,90008,Bavilliers,4595
134317,23,76,7602,76452,Montville,4595
115204,93,13,1307,13018,Cabannes,4595
141554,93,83,8309,83031,Le Cannet-des-Maures,4592
115620,53,35,3525,35299,Saint-Méloir-des-Ondes,4591
126880,73,81,8104,81144,Lescure-d'Albigeois,4589
112273,11,95,9521,95612,Le Thillay,4589
136161,93,13,1325,13082,Rognes,4586
129082,53,35,3516,35133,Iffendic,4585
116722,11,91,9116,91685,Villiers-sur-Orge,4584
117290,72,40,4007,40287,Sanguinet,4582
144014,53,35,3512,35032,Bourgbarré,4580
139378,82,73,7301,73128,Grésy-sur-Aix,4571
145045,24,41,4113,41106,Lamotte-Beuvron,4565
140790,42,67,6703,67205,Hoerdt,4565
122450,52,72,7221,72346,La Suze-sur-Sarthe,4563
112914,53,35,3513,35031,La Bouëxière,4563
113874,41,88,8803,88090,Charmes,4557
144556,25,14,1401,14027,Aunay-sur-Odon,4554
132604,02,972,972,972218,Le Morne-Rouge,4551
119531,91,11,1117,11202,Leucate,4550
112606,53,35,3510,35006,Argentré-du-Plessis,4549
138308,72,64,6420,64132,Bizanos,4548
135590,93,84,8416,84029,Camaret-sur-Aigues,4547
113362,83,43,4302,43020,Bas-en-Basset,4546
117710,72,64,6416,64499,Salies-de-Béarn,4545
118235,53,22,2213,22171,Plaintel,4540
134628,53,35,3510,35239,Retiers,4540
143383,31,59,5935,59375,Marchiennes,4539
128866,22,02,0207,02361,Guise,4533
127466,72,33,3330,33262,Macau,4527
131199,93,83,8315,83068,Grimaud,4527
136347,72,47,4708,47052,Casteljaloux,4521
135470,31,62,6229,62033,Annay,4517
112483,82,69,6900,69063,Collonges-au-Mont-d'Or,4517
117466,31,59,5929,59160,Crespin,4515
136923,42,68,6814,68349,Village-Neuf,4513
138334,53,29,2920,29207,Plourin-lès-Morlaix,4510
117403,53,35,3516,35023,Bédée,4509
119842,93,06,0604,06032,Cap-d'Ail,4508
143481,82,69,6909,69272,Communay,4508
120981,82,38,3821,38468,Salaise-sur-Sanne,4505
132229,03,973,973,973308,Saint-Georges,4505
124298,41,57,5718,57620,Sainte-Marie-aux-Chênes,4505
142429,24,36,3604,36031,Buzançais,4504
115255,54,17,1709,17218,Marans,4500
126332,24,28,2810,28227,Maintenon,4499
114970,02,972,972,972205,Case-Pilote,4499
125398,24,41,4103,41047,La Chaussée-Saint-Victor,4497
141827,82,38,3803,38412,Saint-Laurent-du-Pont,4488
123035,91,34,3412,34146,Lunel-Viel,4488
123448,93,83,8307,83100,Puget-Ville,4488
129993,52,49,4921,49347,Tiercé,4487
137486,22,80,8016,80368,Friville-Escarbotin,4486
123585,52,85,8516,85163,Noirmoutier-en-l'Île,4485
139990,91,66,6612,66011,Bages,4482
110639,11,91,9118,91458,Nozay,4482
126012,31,62,6215,62128,Biache-Saint-Vaast,4481
138426,54,17,1723,17003,Aigrefeuille-d'Aunis,4479
139751,52,44,4420,44126,La Plaine-sur-Mer,4478
123405,02,972,972,972226,Sainte-Anne,4478
143832,52,49,4905,49129,Écouflant,4475
140345,42,67,6707,67378,Plobsheim,4473
114024,54,16,1615,16167,Jarnac,4470
140300,72,33,3308,33213,La Brède,4469
113662,31,59,5902,59477,Provin,4469
143939,54,86,8618,86293,Vivonne,4468
135006,91,11,1119,11429,Villemoustaussou,4468
145027,82,69,6909,69270,Chaponnay,4465
129194,72,64,6426,64065,Ascain,4464
127427,31,59,5929,59301,Hergnies,4463
127494,82,69,6907,69206,Saint-Georges-de-Reneins,4461
127686,22,80,8018,80410,Ham,4459
114786,52,85,8512,85081,Dompierre-sur-Yon,4457
143266,22,60,6021,60636,Thourotte,4456
120609,82,38,3817,38261,Morestel,4454
140664,23,27,2702,27049,Beaumesnil,4452
116729,73,31,3110,31117,Castelmaurou,4448
128854,41,54,5420,54174,Écrouves,4442
112290,25,50,5009,50601,Torigni-sur-Vire,4439
114910,53,56,5615,56173,Pluméliau,4438
144857,54,17,1726,17452,La Tremblade,4436
126150,91,34,3414,34162,Montagnac,4436
113599,23,76,7632,76647,Saint-Romain-de-Colbosc,4436
128916,72,24,2404,24102,Chancelade,4435
143039,82,38,3823,38559,Vinay,4435
136748,52,53,5308,53119,L' Huisserie,4435
124809,52,53,5303,53084,Craon,4435
117196,31,62,6223,62401,Haisnes,4427
118678,72,64,6409,64393,Monein,4426
136762,23,76,7610,76711,Le Tréport,4424
130687,53,35,3506,35308,Saint-Pierre-de-Plesguen,4422
120657,43,25,2515,25434,Ornans,4422
144836,23,27,2716,27562,Saint-Marcel,4422
122132,82,73,7305,73006,Aime,4421
120235,52,85,8516,85284,Soullans,4416
139724,53,35,3524,35076,Chavagne,4415
115879,11,77,7714,77222,Guignes,4414
123243,22,80,8008,80164,Camon,4414
127264,53,29,2927,29190,Plougonvelin,4410
120835,72,33,3327,33324,Pineuilh,4409
121467,73,12,1208,12052,Capdenac-Gare,4407
136528,11,91,9108,91433,Morigny-Champigny,4405
139390,93,13,1328,13048,Jouques,4404
112676,83,63,6308,63308,Royat,4403
127728,42,68,6815,68162,Kaysersberg,4401
119518,31,62,6219,62038,Ardres,4398
127055,72,33,3327,33352,La Réole,4396
144296,11,91,9108,91016,Angerville,4395
114536,41,57,5701,57508,Nilvange,4394
116132,41,57,5720,57628,Sarralbe,4392
121948,93,13,1303,13046,Gréasque,4392
128695,42,67,6702,67495,Truchtersheim,4389
141885,83,03,0310,03098,Désertines,4387
132404,52,44,4409,44030,La Chapelle-des-Marais,4386
124386,31,62,6210,62688,Rang-du-Fliers,4386
142020,31,59,5917,59107,Bray-Dunes,4380
129740,11,78,7809,78168,Coignières,4377
128686,42,67,6706,67389,Reichstett,4376
117623,72,64,6425,64519,Serres-Castet,4376
134663,54,86,8609,86082,Couhé,4368
132811,72,24,2407,24026,Bassillac,4363
124103,82,42,4220,42022,Bonson,4363
132451,42,67,6713,67324,Niederbronn-les-Bains,4360
121801,72,64,6423,64405,Morlaàs,4360
137758,91,30,3018,30223,Rousson,4359
124104,11,95,9514,95116,Bruyères-sur-Oise,4356
112208,73,31,3112,31421,Pins-Justaret,4356
117310,93,04,0410,04242,Villeneuve,4355
136531,11,78,7805,78382,Maurecourt,4355
112090,52,53,5302,53140,Louverné,4355
112789,93,13,1307,13036,Eyragues,4355
114776,93,83,8304,83058,Flayosc,4354
137704,82,69,6911,69066,Cours-la-Ville,4352
127825,91,30,3019,30075,Caveirac,4351
124001,82,69,6909,69133,Millery,4350
126031,53,35,3510,35125,La Guerche-de-Bretagne,4347
121908,93,84,8413,84133,La Tour-d'Aigues,4346
144751,24,41,4112,41242,Selles-sur-Cher,4342
138921,93,83,8309,83067,Gonfaron,4342
132578,24,37,3708,37123,Langeais,4335
111999,53,35,3504,35363,Pont-Péan,4335
117587,26,21,2116,21317,Is-sur-Tille,4334
141524,25,50,5019,50410,Pontorson,4334
111241,24,45,4515,45235,Ormes,4333
114210,93,83,8313,83150,Vinon-sur-Verdon,4333
141339,74,87,8720,87161,Saint-Léonard-de-Noblat,4332
143332,31,59,5941,59580,Steenvoorde,4324
117003,11,91,9110,91534,Saclay,4323
143014,83,15,1502,15267,Ytrac,4322
141298,82,38,3807,38548,Villard-de-Lans,4322
140330,54,17,1704,17093,Le Château-d'Oléron,4319
131057,11,91,9107,91617,Tigery,4318
141241,93,84,8408,84038,Cheval-Blanc,4317
130948,11,91,9101,91457,La Norville,4312
128821,54,16,1604,16287,Roullet-Saint-Estèphe,4312
144154,53,35,3507,35179,Miniac-Morvan,4311
113549,53,35,3511,35123,Goven,4309
111067,42,67,6716,67281,Marckolsheim,4309
136037,31,62,6230,62861,Vimy,4307
121103,53,29,2916,29236,Riec-sur-Bélon,4307
115135,82,26,2616,26197,Montélier,4306
140055,11,77,7706,77238,Jouarre,4304
142099,11,91,9101,91333,Leuville-sur-Orge,4304
116986,93,06,0626,06122,Saint-Jeannet,4303
115851,26,89,8919,89418,Tonnerre,4301
139885,73,82,8209,82124,Montbeton,4299
124543,73,31,3112,31460,Roquettes,4297
112329,26,71,7128,71499,Sanvignes-les-Mines,4295
138096,91,66,6616,66108,Millas,4294
142371,74,19,1907,19073,Égletons,4293
127528,72,24,2410,24340,Prigonrieux,4292
132867,93,84,8408,84026,Cadenet,4292
128778,93,06,0617,06064,Gattières,4287
110612,23,27,2706,27112,Breteuil,4287
129505,25,14,1425,14658,Saint-Sever-Calvados,4285
143785,11,78,7802,78255,Freneuse,4285
110921,41,54,5403,54495,Saulxures-lès-Nancy,4285
119957,91,30,3019,30082,Clarensac,4280
133140,53,22,2226,22081,Hillion,4274
125094,24,41,4105,41220,Saint-Laurent-Nouan,4274
111248,54,17,1712,17283,Pons,4273
134722,93,83,8313,83104,Rians,4272
112570,82,69,6900,69250,La Tour-de-Salvagny,4272
116034,54,86,8607,86222,Saint-Georges-lès-Baillargeaux,4271
129831,93,83,8301,83143,Le Val,4270
132280,91,66,6612,66227,Villeneuve-de-la-Raho,4270
119533,23,27,2715,27428,Le Neubourg,4268
122913,82,38,3802,38455,Saint-Savin,4264
145064,11,77,7714,77100,Le Châtelet-en-Brie,4258
129698,25,50,5022,50002,Agneaux,4255
140442,82,26,2605,26301,Saint-Donat-sur-l'Herbasse,4255
129054,74,19,1909,19274,Ussac,4253
110823,41,54,5407,54261,Herserange,4253
127391,94,2A,2A05,2A032,Bastelicaccia,4251
126113,31,59,5911,59571,Solesmes,4249
112693,82,69,6908,69228,Saint-Maurice-sur-Dargoire,4249
112519,94,2B,2B13,2B123,Ghisonaccia,4248
121701,53,29,2919,29037,Combrit,4247
117379,83,43,4314,43041,Brives-Charensac,4246
113183,52,85,8509,85213,Saint-Florent-des-Bois,4245
131870,43,25,2512,25356,Maîche,4244
110472,73,31,3104,31254,Labège,4242
138183,25,50,5013,50532,Saint-Pair-sur-Mer,4238
118589,91,30,3009,30206,Poulx,4237
124119,72,33,3311,33099,Carignan-de-Bordeaux,4237
144102,93,13,1307,13010,Barbentane,4236
139779,42,67,6716,67073,Châtenois,4235
133616,73,31,3104,31035,Auzeville-Tolosane,4234
140695,52,44,4408,44113,Nozay,4228
139721,53,56,5617,56034,Carnac,4223
112107,53,22,2208,22118,Lanvallay,4222
136247,26,89,8915,89345,Saint-Florentin,4220
111410,23,27,2707,27116,Brionne,4219
116618,83,43,4301,43205,Saint-Just-Malmont,4217
134383,11,95,9512,95604,Survilliers,4216
113117,25,61,6106,61007,Athis-de-l'Orne,4216
124962,82,69,6907,69013,Arnas,4215
120556,31,62,6224,62826,Le Touquet-Paris-Plage,4213
122329,53,29,2923,29216,Pluguffan,4213
114151,52,49,4918,49332,La Séguinière,4212
131684,42,67,6710,67282,Marlenheim,4211
113423,23,76,7633,76258,Fauville-en-Caux,4208
124007,24,45,4520,45300,Sandillon,4205
112077,72,33,3316,33539,Vayres,4204
130181,31,59,5914,59002,Abscon,4203
125907,82,26,2617,26037,Beaumont-lès-Valence,4201
117989,73,82,8215,82075,Grisolles,4197
141738,73,31,3127,31066,Bessières,4197
127352,52,72,7202,72386,Yvré-l'Évêque,4192
111104,42,67,6723,67339,Betschdorf,4192
119771,25,61,6119,61464,Sées,4191
134545,24,37,3719,37172,Notre-Dame-d'Oé,4191
113232,73,31,3124,31389,Montrabé,4191
143931,54,16,1616,16061,Brie,4188
130722,53,29,2923,29170,Plomelin,4187
136950,93,13,1309,13062,Mimet,4187
137396,42,68,6816,68287,Rouffach,4186
112467,22,60,6015,60446,Nanteuil-le-Haudouin,4185
120744,91,30,3016,30211,Redessan,4181
124384,82,73,7308,73137,Jacob-Bellecombette,4181
130218,82,73,7311,73215,La Rochette,4180
134526,53,56,5601,56175,Plumergat,4179
136239,41,57,5710,57647,Serémange-Erzange,4174
123872,72,47,4701,47209,Pont-du-Casse,4173
143154,82,69,6906,69285,Pusignan,4172
138384,11,77,7709,77085,Chanteloup-en-Brie,4171
130463,82,73,7318,73270,Saint-Pierre-d'Albigny,4170
111610,53,22,2219,22209,Ploubalay,4168
115824,91,34,3402,34324,Valras-Plage,4167
131209,21,51,5101,51507,Sainte-Menehould,4166
128712,42,67,6706,67551,Wolfisheim,4165
131330,82,69,6901,69052,Chazay-d'Azergues,4164
133873,91,34,3409,34163,Montarnaud,4164
132517,53,35,3501,35251,Saint-Aubin-d'Aubigné,4159
131886,11,77,7709,77372,Pomponne,4158
141654,93,06,0625,06112,Le Rouret,4157
137432,22,60,6019,60104,Breteuil,4156
121173,82,74,7402,74267,Sévrier,4156
126769,25,61,6111,61145,Domfront,4155
130260,82,01,0113,01376,Saint-Maurice-de-Beynost,4155
139844,82,69,6904,69024,Le Bois-d'Oingt,4155
139089,31,59,5903,59207,Escautpont,4152
123309,25,14,1405,14101,Bretteville-sur-Odon,4148
113629,11,91,9115,91494,Le Plessis-Pâté,4147
114205,42,68,6802,68309,Sierentz,4145
131968,24,37,3713,37226,Sainte-Maure-de-Touraine,4144
144067,82,38,3816,38126,Corenc,4139
133896,52,44,4409,44168,Saint-Joachim,4139
123555,25,14,1411,14191,Courseulles-sur-Mer,4137
131192,82,26,2612,26010,Anneyron,4136
113857,91,34,3413,34240,Saint-Aunès,4136
122015,23,27,2718,27469,Pont-de-l'Arche,4135
114615,82,69,6908,69179,Saint-Andéol-le-Château,4135
117705,41,54,5402,54090,Bouxières-aux-Dames,4134
124682,23,76,7624,76366,Le Houlme,4133
133649,11,91,9105,91249,Forges-les-Bains,4132
138726,52,44,4424,44074,Indre,4130
121581,31,59,5906,59302,Hérin,4129
141642,41,54,5401,54039,Baccarat,4128
123836,91,30,3006,30012,Aramon,4127
135503,31,59,5917,59340,Leffrinckoucke,4124
142692,31,59,5917,59260,Ghyvelde,4119
133332,53,35,3515,35245,Romillé,4119
132248,31,59,5907,59036,Avesnes-sur-Helpe,4118
124635,72,47,4706,47004,Aiguillon,4118
117053,54,17,1703,17010,Angoulins,4117
121457,83,63,6317,63019,Aulnat,4115
121077,53,22,2213,22203,Ploeuc-sur-Lié,4112
130549,93,13,1307,13083,Rognonas,4111
124123,26,89,8902,89263,Monéteau,4111
129802,42,68,6817,68043,Bollwiller,4109
134015,43,90,9009,90075,Offemont,4109
111852,82,42,4207,42285,Saint-Romain-le-Puy,4108
126112,52,44,4402,44049,Le Croisic,4107
126710,25,50,5009,50139,Condé-sur-Vire,4106
116578,11,78,7811,78206,Ecquevilly,4105
138703,53,35,3501,35004,Antrain,4102
115652,42,68,6802,68021,Bartenheim,4102
137084,22,80,8012,80725,Salouël,4099
120960,53,35,3508,35253,Saint-Aubin-du-Cormier,4098
132402,91,34,3404,34336,Villeneuve-lès-Béziers,4098
127559,91,30,3009,30060,Caissargues,4097
133830,91,48,4812,48140,Saint-Chély-d'Apcher,4096
125115,93,06,0625,06148,Tourrettes-sur-Loup,4092
132945,24,28,2805,28110,Le Coudray,4089
115576,02,972,972,972225,Saint-Pierre,4088
132878,26,71,7108,71090,La Chapelle-de-Guinchay,4082
119019,53,35,3511,35127,Guignen,4081
111888,23,76,7625,76164,Caudebec-en-Caux,4078
117824,22,60,6012,60450,Neuilly-en-Thelle,4077
111844,73,31,3107,31396,Nailloux,4077
113248,53,56,5606,56118,Locmiquélic,4075
141561,52,44,4407,44216,Vieillevigne,4070
140240,52,44,4407,44002,Aigrefeuille-sur-Maine,4068
134422,11,95,9507,95430,Montsoult,4068
115609,26,21,2122,21603,Semur-en-Auxois,4068
123740,82,01,0117,01025,Bâgé-la-Ville,4065
116401,53,22,2217,22186,Pléneuf-Val-André,4063
131847,73,12,1220,12270,Sévérac-le-Château,4062
139812,24,28,2814,28348,Saint-Lubin-des-Joncherets,4062
141176,42,68,6817,68321,Staffelfelden,4061
136167,54,17,1703,17168,Fouras,4061
124317,91,11,1106,11116,Cuxac-d'Aude,4061
128674,83,03,0313,03013,Avermes,4060
138483,52,85,8505,85020,Benet,4059
116813,82,73,7311,73171,Montmélian,4058
118502,24,28,2814,28359,Saint-Rémy-sur-Avre,4057
143371,31,59,5901,59390,Masny,4056
140837,91,34,3420,34169,Montferrier-sur-Lez,4054
126293,52,72,7219,72329,Savigné-l'Évêque,4054
121929,83,63,6322,63125,Courpière,4053
126605,01,971,97114,971102,Anse-Bertrand,4052
141192,31,59,5918,59266,Gondecourt,4050
123457,82,26,2612,26333,Saint-Vallier,4050
122662,91,34,3402,34183,Nissan-lez-Enserune,4049
122584,53,35,3516,35223,Plélan-le-Grand,4048
125474,52,72,7208,72176,Le Lude,4048
122227,24,45,4510,45067,Chaingy,4047
127511,52,85,8511,85039,La Bruffière,4044
114871,53,56,5614,56097,Landévant,4044
139050,31,59,5919,59514,Rousies,4043
125233,42,67,6702,67202,Hochfelden,4042
126024,41,88,8801,88075,La Bresse,4041
144937,82,26,2613,26084,Châteauneuf-sur-Isère,4038
133278,26,58,5807,58117,Fourchambault,4037
140501,52,44,4408,44149,Saffré,4036
110916,24,36,3608,36046,La Châtre,4034
137917,91,34,3406,34194,Paulhan,4031
129338,43,25,2519,25463,Pont-de-Roide-Vermondans,4030
124018,31,59,5936,59592,Thumeries,4029
122945,73,82,8201,82161,Saint-Étienne-de-Tulmont,4029
138322,31,59,5941,59309,Hondschoote,4026
128880,91,30,3019,30128,Générac,4025
143420,23,27,2705,27105,Bourgtheroulde-Infreville,4025
138348,73,65,6509,65235,Juillan,4022
112408,23,76,7601,76222,Duclair,4020
120931,74,19,1901,19005,Allassac,4019
115286,21,08,0819,08490,Vouziers,4016
113146,31,59,5931,59489,Raimbeaucourt,4015
128847,23,27,2704,27103,Bourg-Achard,4014
110365,73,32,3202,32119,Eauze,4014
120296,42,67,6708,67222,Ingwiller,4011
141494,53,29,2922,29135,Loctudy,4011
133255,43,39,3912,39434,Poligny,4011
112190,21,51,5114,51058,Bezannes,4011
142770,91,34,3405,34161,Montady,4005
130163,52,44,4402,44135,Le Pouliguen,4005
119131,24,18,1817,18267,Trouy,4005
139629,82,74,7415,74293,Veigy-Foncenex,4005
126157,23,27,2710,27299,Gravigny,4005
112480,52,44,4403,44025,Campbon,4005
131954,31,59,5906,59369,Maing,4004
131702,41,54,5418,54415,Pagny-sur-Moselle,4003
133104,11,94,9416,94070,Santeny,4003
131820,54,16,1619,16281,La Rochefoucauld,4002
124276,93,83,8321,83103,Le Revest-les-Eaux,4002
131321,22,80,8019,80570,Moreuil,4000
143335,82,38,3819,38529,Vaulnaveys-le-Haut,4000
138639,31,59,5914,59092,Bouchain,3996
121194,54,17,1717,17461,Vaux-sur-Mer,3996
139768,22,60,6014,60103,Bresles,3993
121286,41,88,8812,88429,Saint-Nabord,3993
112861,53,56,5604,56061,La Gacilly,3993
118694,52,44,4418,44028,Le Cellier,3992
134421,23,76,7621,76116,Boos,3991
122426,82,74,7403,74137,Groisy,3990
129493,22,60,6013,60155,Cires-lès-Mello,3989
115269,52,44,4421,44150,Saint-Aignan-Grandlieu,3986
131090,91,34,3411,34111,Ganges,3984
119559,72,33,3330,33203,Hourtin,3983
137478,24,28,2810,28279,Nogent-le-Roi,3982
128399,23,27,2720,27507,Saint-André-de-l'Eure,3978
141443,11,78,7807,78327,Juziers,3976
122325,82,69,6904,69159,Pouilly-le-Monial,3975
118526,53,56,5617,56054,Erdeven,3974
124747,82,38,3813,38006,Allevard,3974
144653,25,50,5011,50236,La Haye-du-Puits,3971
124287,11,95,9514,95504,Presles,3970
115837,91,66,6605,66148,Port-Vendres,3969
111049,54,86,8613,86100,Fontaine-le-Comte,3969
130234,53,22,2204,22259,Quévert,3966
138581,53,56,5605,56179,Pont-Scorff,3965
114407,53,22,2215,22206,Plouagat,3961
113262,41,57,5715,57412,Longeville-lès-Metz,3960
129359,41,57,5719,57224,Folschviller,3957
144393,52,44,4428,44014,Le Bignon,3957
137373,72,33,3330,33012,Arsac,3956
126147,53,22,2219,22190,Pleslin-Trigavou,3955
120817,53,29,2921,29140,Loperhet,3951
127459,22,60,6003,60172,Coye-la-Forêt,3950
140802,54,17,1704,17337,Saint-Georges-d'Oléron,3948
134164,73,46,4609,46127,Gourdon,3946
144218,53,29,2927,29177,Plouarzel,3942
133331,91,66,6614,66140,Pézilla-la-Rivière,3942
134810,93,04,0407,04152,Pierrevert,3941
126033,24,28,2815,28422,Voves,3938
113932,91,34,3414,34341,Villeveyrac,3934
138649,82,69,6908,69064,Condrieu,3933
132514,53,29,2910,29197,Plouhinec,3932
121406,53,35,3511,35168,Maure-de-Bretagne,3932
119312,42,67,6709,67212,Holtzheim,3931
143467,41,57,5704,57106,Bouzonville,3929
139468,11,78,7807,78314,Issou,3928
111267,42,68,6816,68338,Turckheim,3928
122282,41,54,5409,54076,Blainville-sur-l'Eau,3927
125523,52,44,4401,44115,Oudon,3925
130907,93,06,0611,06118,Saint-Cézaire-sur-Siagne,3924
111579,41,55,5513,55463,Saint-Mihiel,3924
114023,43,39,3917,39526,Tavaux,3923
136158,01,971,97118,971111,Deshaies,3922
142136,82,74,7413,74082,Collonges-sous-Salève,3919
139723,52,49,4911,49086,Chavagnes,3918
141009,54,17,1726,17380,Saint-Palais-sur-Mer,3918
142650,23,76,7633,76655,Saint-Valery-en-Caux,3915
116294,31,62,6217,62019,Aix-Noulette,3913
143592,93,13,1303,13031,La Destrousse,3913
120601,31,59,5909,59428,Neuville-Saint-Rémy,3912
126364,31,59,5940,59598,Toufflers,3910
135115,53,22,2217,22054,Erquy,3909
129731,91,30,3023,30209,Pujaut,3908
140488,11,77,7716,77114,Chevry-Cossigny,3904
122166,82,38,3820,38200,Jarrie,3903
113734,53,56,5621,56231,Saint-Nolff,3901
144792,72,40,4009,40296,Seignosse,3900
137728,82,01,0117,01320,Replonges,3899
128604,93,84,8408,84065,Lauris,3896
118680,91,11,1106,11145,Fleury,3896
118663,53,29,2918,29209,Plouvien,3892
140257,82,69,6912,69227,Saint-Martin-en-Haut,3891
123174,53,22,2213,22258,Quessoy,3891
140099,21,51,5101,51559,Suippes,3890
140081,31,62,6213,62894,Wimille,3888
138107,82,73,7311,73151,Les Marches,3887
126260,93,04,0410,04116,Les Mées,3884
116940,83,63,6304,63345,Saint-Genès-Champanelle,3883
141101,31,62,6212,62736,Sailly-sur-la-Lys,3883
138124,11,77,7721,77413,Saint-Germain-sur-Morin,3881
122631,52,44,4403,44045,Cordemais,3880
122023,41,54,5423,54270,Hussigny-Godbrange,3880
143734,41,88,8801,88486,Vagney,3878
141921,52,85,8516,85018,Beauvoir-sur-Mer,3876
114888,53,56,5604,56001,Allaire,3875
118131,41,54,5407,54314,Lexy,3874
126285,31,59,5934,59284,Hasnon,3874
130315,53,35,3517,35219,Pipriac,3870
124241,11,77,7711,77389,La Rochette,3870
124609,31,62,6236,62604,Neufchâtel-Hardelot,3870
134064,73,09,0910,09185,Mazères,3868
119592,53,29,2919,29171,Plomeur,3866
116360,53,35,3505,35327,Servon-sur-Vilaine,3864
119499,83,63,6309,63245,Mozac,3863
